image_id,image_path,dataset,entities,class,label,mask_id,mask_path,mask_name,ratio,method,model,perturbed_mask_name,sem_magnitude,quality_flag,cap2_img2,direct_sim,language_model,dreamsim,lpips_score,sen_sim,clip_sim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,ratio_rgb,ratio_gray,largest_component_size_gray,largest_component_size_rgb,cc_cluters_rgb,cc_clusters_gray,cluster_dist_rgb,cluster_dist_gray,dreamsim_category,lpips_score_category,sen_sim_category,clip_sim_category,mse_rgb_category,ssim_rgb_category,ratio_rgb_category,ratio_category,change_location_category,sem_mag_category,size_mag_category,scene_diversity,scene_complexity,scene_diversity_category,scene_complexity_category
forested,p2p/OpenImages/SDv4/forested.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a rhino standing on top of a forested field,large,,0.3042293787002563,0.5585224032402039,llama,0.1389912366867065,0.112209677696228,0.7601358145475388,0.71435546875,0.0018794167574958,0.0011943214,0.8814658490355151,0.892209032132135,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,bin4,bin4,bin5,bin5,bin2,bin4,bin1,,localized,bin4,bin1,1.0,1.0,low,low
serving_food_in,p2p/OpenImages/SDv4/serving_food_in.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,a photo of a group of men in uniform serving food in a kitchen,medium,,0.2779413163661957,0.6842409372329712,llama,0.670381486415863,0.6389341354370117,0.7739578187465668,0.731689453125,0.1001853598115934,0.09562968,0.494656977406416,0.602412713753667,0.5689659118652344,0.5433540344238281,70932.0,72225.0,8.0,10.0,360.27573459017015,393.2989801486495,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,2.0,low,low
beer,p2p/OpenImages/SDv4/beer.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a man in a tie holding a bottle of beer,large,,0.3274962306022644,0.6438114643096924,llama,0.0195164680480957,0.0430775433778762,0.844378724694252,0.732177734375,0.0010689454431275,0.00092524756,0.8737033239245512,0.8769116331034923,0.0009841918945312,0.0009841918945312,258.0,258.0,2.0,2.0,-1.0,-1.0,bin1,bin1,bin5,bin5,bin1,bin4,bin1,,localized,bin1,bin1,1.0,7.0,low,medium
on_a_laptop,p2p/OpenImages/SDv4/on_a_laptop.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a man playing a video game on a small screen on a laptop,large,,0.319200187921524,0.6125317811965942,llama,0.5835705399513245,0.5275898575782776,0.8150470107793808,0.736572265625,0.0680683192402586,0.050433196,0.4674725979730126,0.6354212932549241,0.4063491821289062,0.3373336791992187,20454.0,27211.0,31.0,37.0,627.3816440519743,627.3933598557459,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,1.0,low,low
on_a_sunny_day,p2p/OpenImages/SDv4/on_a_sunny_day.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a group of young men playing a game of football on a sunny day,medium,,0.2368998080492019,0.7510484457015991,llama,0.3826607465744018,0.41643887758255,0.7615238130092621,0.70166015625,0.0900197515765107,0.088277556,0.5124164584342457,0.5769346352639866,0.2997398376464844,0.3068962097167969,52852.0,52700.0,24.0,29.0,465.9382428697767,495.35281904362586,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,1.0,low,low
on_a_sunny_day,p2p/OpenImages/SDv4/on_a_sunny_day.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a glass of wine next to a bottle of wine on a sunny day,medium,,0.2673959136009216,0.7861777544021606,llama,0.8642364740371704,0.6385914087295532,0.8529314994812012,0.7559814453125,0.1170030377642338,0.111247204,0.2067501660107683,0.3204921720633545,0.7810173034667969,0.7437820434570312,187793.0,200591.0,9.0,8.0,478.9819741040772,648.7157678350158,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,2.0,low,low
rack_on_the,p2p/OpenImages/SDv4/rack_on_the.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a machine in a factory with a box on the rack on the floor,small,,0.3004880249500274,0.7118393182754517,llama,0.3493332862854004,0.157848984003067,0.8194163739681244,0.7567138671875,0.004522692230471,0.003896401,0.7396138911414368,0.8312164581164441,0.0220985412597656,0.0214157104492187,1991.0,1973.0,13.0,11.0,367.7540283782208,367.2223339489346,bin5,bin4,bin5,bin5,bin3,bin2,bin3,,diffused,bin5,bin3,1.0,1.0,low,low
a_piano_keyboard,p2p/OpenImages/SDv4/a_piano_keyboard.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,a photo of a turkey on a plate with a instrument and a piano keyboard,medium,,0.3121322393417358,0.7668743133544922,llama,0.3692212700843811,0.1721262484788894,0.8148439824581146,0.753662109375,0.0063495905356851,0.005483719,0.6630993125348997,0.7287076784703044,0.0285224914550781,0.0318336486816406,3300.0,3188.0,15.0,17.0,510.09101899032805,508.6556583185781,bin5,bin4,bin5,bin5,bin3,bin1,bin3,,diffused,bin5,bin3,1.0,1.0,low,low
bar,p2p/OpenImages/SDv4/bar.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of two women sitting at a bar with a drink,large,,0.3089988827705383,0.6585538387298584,llama,0.7847011685371399,0.4276819825172424,0.6628186404705048,0.7620849609375,0.0159001537666677,0.015577017,0.5312044775699508,0.6333961190399074,0.1118545532226562,0.1138496398925781,14005.0,14255.0,21.0,23.0,519.1218977977401,520.0924245841805,bin5,bin5,bin4,bin5,bin4,bin1,bin4,,diffused,bin5,bin4,1.0,1.0,low,low
on_a_retro_car_race,p2p/OpenImages/SDv4/on_a_retro_car_race.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a vintage car with an american flag on the front on a retro car race,large,,0.2909370362758636,0.6836814880371094,llama,0.6208425164222717,0.3871831595897674,0.6825861930847168,0.693603515625,0.0201691949402661,0.019432826,0.4636568924444961,0.5115139893897533,0.1778182983398437,0.1777076721191406,7142.0,7443.0,44.0,42.0,628.5461864602438,693.669841699357,bin5,bin5,bin4,bin5,bin4,bin1,bin5,,diffused,bin5,bin5,1.0,1.0,low,low
homeless,p2p/OpenImages/SDv4/homeless.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A homeless photo of a man walking across a street while holding a bag,small,,0.3156971037387848,0.5474007725715637,llama,0.6714069843292236,0.5538312792778015,0.8172504603862762,0.71728515625,0.0964401897277402,0.08611306,0.3037943083599844,0.4189921452256421,0.4423294067382812,0.4390792846679687,106588.0,108966.0,17.0,12.0,652.3223949210166,625.3709286828115,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,3.0,4.0,low,medium
turquoise,p2p/OpenImages/SDv4/turquoise.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a woman in a white jacket and turquoise underwear,small,,0.2871323227882385,0.6875941157341003,llama,0.4937784671783447,0.3477159142494201,0.784251019358635,0.71875,0.037343244815383,0.03452918,0.5171035614264242,0.6171551977479275,0.2905311584472656,0.2725944519042969,35844.0,52525.0,19.0,20.0,574.2667845272492,583.0652296438376,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,2.0,3.0,low,low
red,p2p/OpenImages/SDv4/red.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,a photo of a red car parked on the side of the road,medium,,0.2085185348987579,0.5034449100494385,llama,0.771023154258728,0.4051669836044311,0.7130708396434784,0.6201171875,0.0253557479019487,0.018508323,0.6212056585641239,0.7002887349143442,0.2137985229492187,0.1848869323730468,18725.0,21378.0,14.0,17.0,510.4962551093412,510.4350294875081,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,2.0,2.0,low,low
a_classical_song_at_a,p2p/OpenImages/SDv4/a_classical_song_at_a.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a man is sitting at a piano and playing a classical song at a piano,small,,0.2902173399925232,0.6437443494796753,llama,0.5646451115608215,0.3066684305667877,0.7431361079216003,0.68505859375,0.0082462161097269,0.007738738,0.6592761137300812,0.6868739444421477,0.0468673706054687,0.0487289428710937,2777.0,2827.0,21.0,23.0,422.42253146553446,398.4900537639012,bin5,bin5,bin5,bin5,bin4,bin1,bin3,,diffused,bin5,bin3,2.0,2.0,low,low
treasure,p2p/OpenImages/SDv4/treasure.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,a photo of a treasure hanging from a tree in the city,medium,,0.2857418358325958,0.4960467219352722,llama,0.5294346213340759,0.6257542967796326,0.8129928410053253,0.747314453125,0.1457215966020932,0.12570241,0.2557412523261173,0.3873805722573545,0.77685546875,0.6959228515625,173914.0,200900.0,6.0,9.0,340.8422143325196,598.5184405667909,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,1.0,low,low
a_city,p2p/OpenImages/SDv4/a_city.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,A photo of a helicopter sitting on top of a city tarmac,large,,0.3155981302261352,0.5425946712493896,llama,0.7530460357666016,0.5703866481781006,0.818999320268631,0.7177734375,0.1460144772175778,0.1366183,0.3698936772235379,0.4214885957165387,0.5469932556152344,0.5466156005859375,135283.0,133488.0,10.0,9.0,522.1586176231302,502.70879051988095,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,1.0,low,low
its_beak_open_wide,p2p/OpenImages/SDv4/its_beak_open_wide.jpeg,OpenImages,,,fake,,,a photo of a long table with purple chairs in front of a blackboard with a chalkboard on it,,p2p,SDv4,a sculpture of a bird sitting on a rock with its beak open wide,medium,,0.2497348487377166,0.6042737364768982,llama,0.6560287475585938,0.7694759368896484,0.8399544507265091,0.7431640625,0.2421789202701735,0.22078007,0.1802033315008028,0.3095318226451918,0.872711181640625,0.8110389709472656,210830.0,228050.0,5.0,7.0,291.86109566111423,491.5304452468772,bin5,bin5,bin5,bin5,bin5,bin1,bin5,,diffused,bin5,bin5,1.0,1.0,low,low
